invoice_and_item_number,date,store_number,item_number,bottles_sold,bottle_volume_ml,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-25527000102,2020-02-28,2569,44419,1,750,10.5,0.75,0.19
INV-25527000103,2020-02-28,2569,44499,1,750,10.5,0.75,0.19
INV-25542300019,2020-02-28,5358,36968,2,375,10.5,0.75,0.19
INV-25516700231,2020-02-28,2603,52594,2,375,10.5,0.75,0.19
INV-25539600025,2020-02-28,4596,40598,2,375,10.5,0.75,0.19
INV-25532200014,2020-02-28,2459,44476,1,750,10.5,0.75,0.19
INV-25543800031,2020-02-28,4011,36034,1,750,10.5,0.75,0.19
INV-25515500040,2020-02-28,4377,25604,2,375,10.5,0.75,0.19
INV-25526800014,2020-02-28,5908,40192,2,375,10.5,0.75,0.19
INV-25539600027,2020-02-28,4596,40192,2,375,10.5,0.75,0.19
INV-25520900035,2020-02-28,5903,40192,2,375,10.5,0.75,0.19
INV-25514800046,2020-02-28,4622,25604,2,375,10.5,0.75,0.19
INV-25525700020,2020-02-28,4848,39917,2,375,10.5,0.75,0.19
INV-25527400024,2020-02-28,5907,24156,2,750,10.5,1.5,0.39
INV-25527000028,2020-02-28,2569,23826,2,750,10.5,1.5,0.39
INV-25519700028,2020-02-28,4794,80576,2,750,10.5,1.5,0.39
INV-25540900031,2020-02-28,5466,80576,2,750,10.5,1.5,0.39
INV-25527400067,2020-02-28,5907,80578,1,1750,10.5,1.75,0.46
INV-25518700015,2020-02-28,2190,19063,2,200,10.5,0.4,0.1
INV-25527700090,2020-02-28,5236,36970,1,1000,11,1,0.26
INV-25527400022,2020-02-28,5907,23708,1,1750,11,1.75,0.46
INV-25530500030,2020-02-28,2445,17956,1,750,12,0.75,0.19
INV-25527400021,2020-02-28,5907,17956,1,750,12,0.75,0.19
INV-25519700014,2020-02-28,4794,73702,1,750,12,0.75,0.19
INV-25526800022,2020-02-28,5908,41846,1,750,12,0.75,0.19
INV-25534700018,2020-02-28,2178,10626,1,750,12,0.75,0.19
INV-25519700013,2020-02-28,4794,17956,1,750,12,0.75,0.19
INV-25521500006,2020-02-28,5517,10626,1,750,12,0.75,0.19
INV-25526900073,2020-02-28,4180,10625,1,750,12,0.75,0.19
INV-25527400001,2020-02-28,5907,22786,2,750,12,1.5,0.39
INV-25521700031,2020-02-28,3403,81206,2,750,12,1.5,0.39
INV-25544600029,2020-02-28,3818,12408,1,1750,12,1.75,0.46
INV-25537500003,2020-02-28,5237,10932,2,50,12,0.1,0.02
INV-25531300007,2020-02-28,3963,26822,4,100,12,0.4,0.1
INV-25531300019,2020-02-28,3963,52593,4,200,12,0.8,0.21
INV-25534100020,2020-02-28,5373,557,2,400,12,0.8,0.21
INV-25539600007,2020-02-28,4596,52593,4,200,12,0.8,0.21
INV-25509500001,2020-02-28,4411,10805,1,375,12,0.37,0.09
INV-25520900006,2020-02-28,5903,10790,1,375,12,0.37,0.09
INV-25510200031,2020-02-28,4392,10805,1,375,12,0.37,0.09
INV-25526900018,2020-02-28,4180,10805,1,375,12,0.37,0.09
INV-25513600019,2020-02-28,4140,10805,1,375,12,0.37,0.09
INV-25526900020,2020-02-28,4180,10790,1,375,12,0.37,0.09
INV-25510500033,2020-02-28,4448,11294,1,375,12,0.37,0.09
INV-25510500032,2020-02-28,4448,10805,1,375,12,0.37,0.09
INV-25510200030,2020-02-28,4392,11294,1,375,12,0.37,0.09
INV-25537600013,2020-02-28,2644,10805,1,375,12,0.37,0.09
INV-25520900002,2020-02-28,5903,11294,1,375,12,0.37,0.09
INV-25527700048,2020-02-28,5236,11294,1,375,12,0.37,0.09
INV-25514000015,2020-02-28,4369,11294,1,375,12,0.37,0.09
INV-25527700047,2020-02-28,5236,10805,1,375,12,0.37,0.09
INV-25523000008,2020-02-28,2657,29997,2,1000,13,2,0.52
INV-25511900028,2020-02-28,2612,30056,3,750,13.5,2.25,0.59
INV-25524600010,2020-02-28,5110,30056,3,750,13.5,2.25,0.59
INV-25529000011,2020-02-28,4346,64866,1,750,13.5,0.75,0.19
INV-25527400010,2020-02-28,5907,10624,2,375,13.5,0.75,0.19
INV-25509500008,2020-02-28,4411,43124,2,375,13.5,0.75,0.19
INV-25525800043,2020-02-28,2228,10624,2,375,13.5,0.75,0.19
INV-25523100055,2020-02-28,5210,72916,1,750,13.5,0.75,0.19
INV-25545100004,2020-02-28,5425,43134,2,375,13.5,0.75,0.19
INV-25543800033,2020-02-28,4011,41670,2,750,13.5,1.5,0.39
INV-25516700138,2020-02-28,2603,41927,2,750,13.5,1.5,0.39
INV-25525800056,2020-02-28,2228,89193,3,200,13.5,0.6,0.15
INV-25537800062,2020-02-28,3514,63222,6,200,13.5,1.2,0.31
INV-25526900029,2020-02-28,4180,88290,1,200,13.5,0.2,0.05
INV-25534900050,2020-02-28,3857,82147,2,1000,15,2,0.52
INV-25522500007,2020-02-28,5252,82187,2,1000,15,2,0.52
INV-25527400083,2020-02-28,5907,17127,2,1000,15,2,0.52
INV-25539300026,2020-02-28,5443,430,5,50,15,0.25,0.06
INV-25521500004,2020-02-28,5517,86843,1,750,15,0.75,0.19
INV-25543000064,2020-02-28,2550,75198,1,750,15,0.75,0.19
INV-25526800004,2020-02-28,5908,75213,2,375,15,0.75,0.19
INV-25543000031,2020-02-28,2550,36266,1,750,15,0.75,0.19
INV-25527700068,2020-02-28,5236,26765,1,750,15,0.75,0.19
INV-25524400015,2020-02-28,2656,75210,1,750,15,0.75,0.19
INV-25526900009,2020-02-28,4180,75230,1,750,15,0.75,0.19
INV-25542300011,2020-02-28,5358,38176,1,750,15,0.75,0.19
INV-25520900066,2020-02-28,5903,75210,1,750,15,0.75,0.19
INV-25542300020,2020-02-28,5358,43334,2,375,15,0.75,0.19
INV-25527000062,2020-02-28,2569,36266,1,750,15,0.75,0.19
INV-25517400008,2020-02-28,5888,36482,2,375,15,0.75,0.19
INV-25527000033,2020-02-28,2569,26606,1,750,15,0.75,0.19
INV-25527000038,2020-02-28,2569,27433,1,750,15,0.75,0.19
INV-25527700074,2020-02-28,5236,75198,1,750,15,0.75,0.19
INV-25519700008,2020-02-28,4794,75230,1,750,15,0.75,0.19
INV-25527700069,2020-02-28,5236,27474,1,750,15,0.75,0.19
INV-25524400016,2020-02-28,2656,75221,1,750,15,0.75,0.19
INV-25515500050,2020-02-28,4377,38176,1,750,15,0.75,0.19
INV-25527700075,2020-02-28,5236,75230,1,750,15,0.75,0.19
INV-25544200028,2020-02-28,4275,43621,1,750,15,0.75,0.19
INV-25527000034,2020-02-28,2569,26765,1,750,15,0.75,0.19
INV-25511900082,2020-02-28,2612,80485,1,750,15,0.75,0.19
INV-25527400060,2020-02-28,5907,43334,2,375,15,0.75,0.19
INV-25534600022,2020-02-28,5017,84496,2,750,15,1.5,0.39
INV-25525500026,2020-02-28,4317,78866,2,750,15,1.5,0.39
INV-25523300015,2020-02-28,2655,79336,2,750,15,1.5,0.39
INV-25530000082,2020-02-28,2591,72816,2,750,15,1.5,0.39
INV-25527000043,2020-02-28,2569,30316,2,750,15,1.5,0.39
INV-25534900049,2020-02-28,3857,79336,2,750,15,1.5,0.39
INV-25512600066,2020-02-28,2505,84456,2,750,15,1.5,0.39
INV-25544600068,2020-02-28,3818,44658,1,1750,15,1.75,0.46
INV-25538600018,2020-02-28,3783,37888,1,1750,15,1.75,0.46
INV-25528300002,2020-02-28,5531,69609,2,50,15,0.1,0.02
INV-25521400012,2020-02-28,4790,69631,2,50,15,0.1,0.02
INV-25527700037,2020-02-28,5236,69713,2,50,15,0.1,0.02
INV-25528300001,2020-02-28,5531,69631,2,50,15,0.1,0.02
INV-25544600097,2020-02-28,3818,69609,2,50,15,0.1,0.02
INV-25530900037,2020-02-28,2641,65204,2,50,15,0.1,0.02
INV-25520900023,2020-02-28,5903,64722,2,200,15,0.4,0.1
INV-25516900011,2020-02-28,5108,64510,2,200,15,0.4,0.1
INV-25539700001,2020-02-28,4273,64722,2,200,15,0.4,0.1
INV-25518700014,2020-02-28,2190,47790,2,200,15,0.4,0.1
INV-25544600103,2020-02-28,3818,11299,2,200,15,0.4,0.1
INV-25508900003,2020-02-28,4696,43123,4,200,15,0.8,0.21
INV-25527400078,2020-02-28,5907,86886,1,750,15.5,0.75,0.19
INV-25522600042,2020-02-28,3712,86885,1,750,15.5,0.75,0.19
INV-25519100010,2020-02-28,5163,86885,1,750,15.5,0.75,0.19
INV-25534900053,2020-02-28,3857,64864,2,375,16,0.75,0.19
INV-25542300018,2020-02-28,5358,64864,2,375,16,0.75,0.19
INV-25529700018,2020-02-28,4654,64864,2,375,16,0.75,0.19
INV-25527400073,2020-02-28,5907,64864,2,375,16,0.75,0.19
INV-25532400019,2020-02-28,2624,35913,10,200,17,2,0.52
INV-25540100044,2020-02-28,4169,45245,3,750,18,2.25,0.59
INV-25536200068,2020-02-28,2602,45246,3,750,18,2.25,0.59
INV-25529600035,2020-02-28,3461,45246,3,750,18,2.25,0.59
INV-25543400015,2020-02-28,4271,45276,3,750,18,2.25,0.59
INV-25527000042,2020-02-28,2569,30056,4,750,18,3,0.79
INV-25527700066,2020-02-28,5236,43984,2,750,18,1.5,0.39
INV-25528700016,2020-02-28,4439,43076,2,750,18,1.5,0.39
INV-25540100040,2020-02-28,4169,43026,2,750,18,1.5,0.39
INV-25521700038,2020-02-28,3403,52316,2,750,18,1.5,0.39
INV-25527000127,2020-02-28,2569,73986,2,750,18,1.5,0.39
INV-25534400020,2020-02-28,4972,43025,2,750,18,1.5,0.39
INV-25521700043,2020-02-28,3403,43076,2,750,18,1.5,0.39
INV-25526800030,2020-02-28,5908,43984,2,750,18,1.5,0.39
INV-25521500002,2020-02-28,5517,56006,2,750,18,1.5,0.39
INV-25529000015,2020-02-28,4346,52316,2,750,18,1.5,0.39
INV-25527400058,2020-02-28,5907,43026,2,750,18,1.5,0.39
INV-25527100040,2020-02-28,2618,52316,2,750,18,1.5,0.39
INV-25542300003,2020-02-28,5358,43026,2,750,18,1.5,0.39
INV-25520300023,2020-02-28,5149,52593,6,200,18,1.2,0.31
INV-25515100008,2020-02-28,3678,73851,2,50,18,0.1,0.02
INV-25540100025,2020-02-28,4169,84172,2,50,18,0.1,0.02
INV-25514000005,2020-02-28,4369,84172,2,50,18,0.1,0.02
INV-25528400031,2020-02-28,5437,84143,2,50,18,0.1,0.02
INV-25512600064,2020-02-28,2505,84143,2,50,18,0.1,0.02
INV-25540900037,2020-02-28,5466,84197,2,50,18,0.1,0.02
INV-25531300055,2020-02-28,3963,84152,2,50,18,0.1,0.02
INV-25544500011,2020-02-28,4817,84172,2,50,18,0.1,0.02
INV-25530900035,2020-02-28,2641,81124,2,50,18,0.1,0.02
INV-25540000023,2020-02-28,5131,84172,2,50,18,0.1,0.02
INV-25539600017,2020-02-28,4596,89193,4,200,18,0.8,0.21
INV-25519600028,2020-02-28,2506,89193,4,200,18,0.8,0.21
INV-25520600011,2020-02-28,5361,87402,4,200,18,0.8,0.21
INV-25531000013,2020-02-28,3728,89193,4,200,18,0.8,0.21
INV-25543800034,2020-02-28,4011,30317,2,1000,21,2,0.52
INV-25524000013,2020-02-28,4246,23826,4,750,21,3,0.79
INV-25540700004,2020-02-28,4997,80576,4,750,21,3,0.79
INV-25521200020,2020-02-28,5434,80578,2,1750,21,3.5,0.92
INV-25528100008,2020-02-28,5737,37178,2,1750,21,3.5,0.92
INV-25538900023,2020-02-28,3964,35947,4,1000,21,4,1.05
INV-25538600020,2020-02-28,3783,36667,4,1000,21,4,1.05
INV-25539700034,2020-02-28,4273,22156,1,750,21,0.75,0.19
INV-25522400010,2020-02-28,4067,67595,1,750,21,0.75,0.19
INV-25537800034,2020-02-28,3514,22156,1,750,21,0.75,0.19
INV-25544600019,2020-02-28,3818,22156,1,750,21,0.75,0.19
INV-25524400021,2020-02-28,2656,11586,2,750,21,1.5,0.39
INV-25540700013,2020-02-28,4997,40192,4,375,21,1.5,0.39
INV-25519700022,2020-02-28,4794,44428,2,750,21,1.5,0.39
INV-25514000016,2020-02-28,4369,25604,4,375,21,1.5,0.39
INV-25509300012,2020-02-28,4384,36968,4,375,21,1.5,0.39
INV-25535200054,2020-02-28,4183,35179,2,750,21,1.5,0.39
INV-25522600012,2020-02-28,3712,76669,2,750,21,1.5,0.39
INV-25521500029,2020-02-28,5517,11586,2,750,21,1.5,0.39
INV-25515500037,2020-02-28,4377,36968,4,375,21,1.5,0.39
INV-25524400018,2020-02-28,2656,41019,2,750,21,1.5,0.39
INV-25528300013,2020-02-28,5531,25604,4,375,21,1.5,0.39
INV-25508900020,2020-02-28,4696,40598,4,375,21,1.5,0.39
INV-25534900039,2020-02-28,3857,35179,2,750,21,1.5,0.39
INV-25525800041,2020-02-28,2228,25604,4,375,21,1.5,0.39
INV-25521700035,2020-02-28,3403,25604,4,375,21,1.5,0.39
INV-25543800032,2020-02-28,4011,41019,2,750,21,1.5,0.39
INV-25515500034,2020-02-28,4377,40598,4,375,21,1.5,0.39
INV-25514400021,2020-02-28,4370,52594,4,375,21,1.5,0.39
INV-25509700011,2020-02-28,4378,40593,4,375,21,1.5,0.39
INV-25513700029,2020-02-28,5507,40593,4,375,21,1.5,0.39
INV-25539600028,2020-02-28,4596,36968,4,375,21,1.5,0.39
INV-25522400016,2020-02-28,4067,44499,2,750,21,1.5,0.39
INV-25514400017,2020-02-28,4370,36968,4,375,21,1.5,0.39
INV-25530900040,2020-02-28,2641,40192,4,375,21,1.5,0.39
INV-25540100026,2020-02-28,4169,73754,4,375,21,1.5,0.39
INV-25514400016,2020-02-28,4370,40593,4,375,21,1.5,0.39
INV-25530600001,2020-02-28,4159,34856,2,750,21,1.5,0.39
INV-25514000011,2020-02-28,4369,36971,1,1750,21,1.75,0.46
INV-25540000001,2020-02-28,5131,40313,1,1750,21,1.75,0.46
INV-25540700012,2020-02-28,4997,19063,4,200,21,0.8,0.21
INV-25527100004,2020-02-28,2618,19063,4,200,21,0.8,0.21
INV-25527400048,2020-02-28,5907,36970,2,1000,22,2,0.52
INV-25538900015,2020-02-28,3964,29998,2,1750,22,3.5,0.92
INV-25530500025,2020-02-28,2445,29998,2,1750,22,3.5,0.92
INV-25526900055,2020-02-28,4180,64904,1,1750,23,1.75,0.46
INV-25522600030,2020-02-28,3712,25607,2,1000,24,2,0.52
INV-25525200009,2020-02-28,4291,25607,2,1000,24,2,0.52
INV-25522500006,2020-02-28,5252,81196,4,750,24,3,0.79
INV-25527400004,2020-02-28,5907,22788,2,1750,24,3.5,0.92
INV-25521700017,2020-02-28,3403,25878,2,1750,24,3.5,0.92
INV-25534900056,2020-02-28,3857,10805,2,375,24,0.75,0.19
INV-25521300014,2020-02-28,4897,10805,2,375,24,0.75,0.19
INV-25513100034,2020-02-28,4362,10805,2,375,24,0.75,0.19
INV-25542300015,2020-02-28,5358,10805,2,375,24,0.75,0.19
INV-25512200016,2020-02-28,5700,10805,2,375,24,0.75,0.19
INV-25537600014,2020-02-28,2644,11294,2,375,24,0.75,0.19
INV-25521300015,2020-02-28,4897,10790,2,375,24,0.75,0.19
INV-25513100035,2020-02-28,4362,11294,2,375,24,0.75,0.19
INV-25534600009,2020-02-28,5017,11294,2,375,24,0.75,0.19
INV-25527400018,2020-02-28,5907,10805,2,375,24,0.75,0.19
INV-25523100024,2020-02-28,5210,5345,2,375,24,0.75,0.19
INV-25534200007,2020-02-28,4908,10805,2,375,24,0.75,0.19
INV-25513600020,2020-02-28,4140,11294,2,375,24,0.75,0.19
INV-25542300016,2020-02-28,5358,11294,2,375,24,0.75,0.19
INV-25524400011,2020-02-28,2656,77805,2,750,24,1.5,0.39
INV-25529600040,2020-02-28,3461,31475,2,750,24,1.5,0.39
INV-25517600015,2020-02-28,2678,17956,2,750,24,1.5,0.39
INV-25542100012,2020-02-28,4138,17956,2,750,24,1.5,0.39
INV-25521500017,2020-02-28,5517,17956,2,750,24,1.5,0.39
INV-25537800035,2020-02-28,3514,10625,2,750,24,1.5,0.39
INV-25526900060,2020-02-28,4180,27454,2,750,24,1.5,0.39
INV-25527000017,2020-02-28,2569,17956,2,750,24,1.5,0.39
INV-25530000085,2020-02-28,2591,81406,2,750,24,1.5,0.39
INV-25525200037,2020-02-28,4291,77805,2,750,24,1.5,0.39
INV-25534900046,2020-02-28,3857,17956,2,750,24,1.5,0.39
INV-25531500092,2020-02-28,2613,26822,8,100,24,0.8,0.21
INV-25515100042,2020-02-28,3678,557,4,400,24,1.6,0.42
INV-25508900009,2020-02-28,4696,52593,8,200,24,1.6,0.42
INV-25538900006,2020-02-28,3964,64864,3,375,24,1.12,0.29
INV-25521500020,2020-02-28,5517,64864,3,375,24,1.12,0.29
INV-25536200021,2020-02-28,2602,69634,3,375,24,1.12,0.29
INV-25512200015,2020-02-28,5700,64864,3,375,24,1.12,0.29
INV-25516200008,2020-02-28,5716,64864,3,375,24,1.12,0.29
INV-25536200018,2020-02-28,2602,64864,3,375,24,1.12,0.29
INV-25529600019,2020-02-28,3461,64864,3,375,24,1.12,0.29
INV-25515500019,2020-02-28,4377,64864,3,375,24,1.12,0.29
INV-25531300050,2020-02-28,3963,69634,3,375,24,1.12,0.29
INV-25528700008,2020-02-28,4439,52316,3,750,27,2.25,0.59
INV-25541000031,2020-02-28,4478,43026,3,750,27,2.25,0.59
INV-25511300022,2020-02-28,4136,73986,3,750,27,2.25,0.59
INV-25536200061,2020-02-28,2602,56006,3,750,27,2.25,0.59
INV-25544200007,2020-02-28,4275,52316,3,750,27,2.25,0.59
INV-25542600005,2020-02-28,4385,43026,3,750,27,2.25,0.59
INV-25511900042,2020-02-28,2612,38056,3,750,27,2.25,0.59
INV-25538500007,2020-02-28,4319,52316,3,750,27,2.25,0.59
INV-25523600006,2020-02-28,2607,72722,3,750,27,2.25,0.59
INV-25512200008,2020-02-28,5700,43026,3,750,27,2.25,0.59
INV-25527100022,2020-02-28,2618,37414,6,375,27,2.25,0.59
INV-25534600010,2020-02-28,5017,37414,6,375,27,2.25,0.59
INV-25520000021,2020-02-28,4258,52316,3,750,27,2.25,0.59
INV-25516700204,2020-02-28,2603,18046,3,750,27,2.25,0.59
INV-25538100004,2020-02-28,4514,43026,3,750,27,2.25,0.59
INV-25525000030,2020-02-28,2553,52316,3,750,27,2.25,0.59
INV-25511800018,2020-02-28,5411,72508,3,1000,27,3,0.79
INV-25536800044,2020-02-28,5167,37416,4,750,27,3,0.79
INV-25545100013,2020-02-28,5425,37426,4,750,27,3,0.79
INV-25519600049,2020-02-28,2506,40363,4,750,27,3,0.79
INV-25519600004,2020-02-28,2506,36904,10,375,27,3.75,0.99
INV-25527000123,2020-02-28,2569,68340,1,750,27,0.75,0.19
INV-25521700019,2020-02-28,3403,68126,2,750,27,1.5,0.39
INV-25517300002,2020-02-28,5888,43124,4,375,27,1.5,0.39
INV-25539600002,2020-02-28,4596,43124,4,375,27,1.5,0.39
INV-25527400071,2020-02-28,5907,64866,2,750,27,1.5,0.39
INV-25531300070,2020-02-28,3963,72916,2,750,27,1.5,0.39
INV-25508900004,2020-02-28,4696,43124,4,375,27,1.5,0.39
INV-25510500011,2020-02-28,4448,1799,1,1750,27,1.75,0.46
INV-25530500026,2020-02-28,2445,43338,1,1750,27,1.75,0.46
INV-25510200017,2020-02-28,4392,1799,1,1750,27,1.75,0.46
INV-25520900071,2020-02-28,5903,1799,1,1750,27,1.75,0.46
INV-25529900006,2020-02-28,4267,43338,1,1750,27,1.75,0.46
INV-25519100025,2020-02-28,5163,43338,1,1750,27,1.75,0.46
INV-25544500010,2020-02-28,4817,84207,3,50,27,0.15,0.03
INV-25531300054,2020-02-28,3963,84143,3,50,27,0.15,0.03
INV-25536800003,2020-02-28,5167,84197,3,50,27,0.15,0.03
INV-25541000040,2020-02-28,4478,81124,3,50,27,0.15,0.03
INV-25509100014,2020-02-28,4617,84207,3,50,27,0.15,0.03
INV-25509600019,2020-02-28,4868,84172,3,50,27,0.15,0.03
INV-25531300064,2020-02-28,3963,87402,6,200,27,1.2,0.31
INV-25526800009,2020-02-28,5908,88290,2,200,27,0.4,0.1
INV-25509100012,2020-02-28,4617,88290,2,200,27,0.4,0.1
INV-25519600006,2020-02-28,2506,35914,10,375,29,3.75,0.99
INV-25525200043,2020-02-28,4291,11940,4,750,30,3,0.79
INV-25543500035,2020-02-28,2523,79336,4,750,30,3,0.79
INV-25544600036,2020-02-28,3818,8828,2,1750,30,3.5,0.92
INV-25537800033,2020-02-28,3514,8828,2,1750,30,3.5,0.92
INV-25518500033,2020-02-28,2587,8828,2,1750,30,3.5,0.92
INV-25535300001,2020-02-28,4183,66836,1,750,30,0.75,0.19
INV-25525800038,2020-02-28,2228,22175,1,750,30,0.75,0.19
INV-25543500021,2020-02-28,2523,27171,1,750,30,0.75,0.19
INV-25527000119,2020-02-28,2569,66836,1,750,30,0.75,0.19
INV-25532400044,2020-02-28,2624,87266,1,750,30,0.75,0.19
INV-25522400014,2020-02-28,4067,27474,2,750,30,1.5,0.39
INV-25522500013,2020-02-28,5252,75210,2,750,30,1.5,0.39
INV-25544600004,2020-02-28,3818,38176,2,750,30,1.5,0.39
INV-25538600001,2020-02-28,3783,15818,2,750,30,1.5,0.39
INV-25544600038,2020-02-28,3818,86839,2,750,30,1.5,0.39
INV-25539600037,2020-02-28,4596,38176,2,750,30,1.5,0.39
INV-25545100055,2020-02-28,5425,87043,2,750,30,1.5,0.39
INV-25515100023,2020-02-28,3678,75210,2,750,30,1.5,0.39
INV-25543200035,2020-02-28,2551,43621,2,750,30,1.5,0.39
INV-25511900073,2020-02-28,2612,75198,2,750,30,1.5,0.39
INV-25544600111,2020-02-28,3818,43334,4,375,30,1.5,0.39
INV-25545100054,2020-02-28,5425,86843,2,750,30,1.5,0.39
INV-25534200019,2020-02-28,4908,43334,4,375,30,1.5,0.39
INV-25516700175,2020-02-28,2603,27417,2,750,30,1.5,0.39
