invoice_and_item_number,date,store_number,item_number,bottles_sold,bottle_volume_ml,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-24491000008,2020-01-10,4275,66810,1,750,27,0.75,0.19
INV-24479400036,2020-01-10,2553,5635,1,750,27,0.75,0.19
INV-24464900010,2020-01-10,4384,43124,4,375,27,1.5,0.39
INV-24469600085,2020-01-10,2603,43124,4,375,27,1.5,0.39
INV-24475000012,2020-01-10,4361,64866,2,750,27,1.5,0.39
INV-24465200007,2020-01-10,4411,43124,4,375,27,1.5,0.39
INV-24473000023,2020-01-10,5434,89193,6,200,27,1.2,0.31
INV-24491300088,2020-01-10,3818,89193,6,200,27,1.2,0.31
INV-24475300018,2020-01-10,5507,89193,6,200,27,1.2,0.31
INV-24496400041,2020-01-10,3963,89193,6,200,27,1.2,0.31
INV-24472200006,2020-01-10,2506,35914,10,375,29,3.75,0.99
INV-24497800027,2020-01-10,3465,78866,4,750,30,3,0.79
INV-24480300007,2020-01-10,2624,10278,2,1750,30,3.5,0.92
INV-24469600148,2020-01-10,2603,57092,2,1750,30,3.5,0.92
INV-24471800005,2020-01-10,2558,89824,1,750,30,0.75,0.19
INV-24468800033,2020-01-10,3831,19226,1,750,30,0.75,0.19
INV-24474300025,2020-01-10,5252,52216,1,750,30,0.75,0.19
INV-24468300014,2020-01-10,4838,43334,4,375,30,1.5,0.39
INV-24467100012,2020-01-10,5425,27697,2,750,30,1.5,0.39
INV-24464900009,2020-01-10,4384,43334,4,375,30,1.5,0.39
INV-24485900023,2020-01-10,5253,21215,2,750,30,1.5,0.39
INV-24481100016,2020-01-10,5660,26765,2,750,30,1.5,0.39
INV-24487500041,2020-01-10,5466,43621,2,750,30,1.5,0.39
INV-24491300030,2020-01-10,3818,86843,2,750,30,1.5,0.39
INV-24484200039,2020-01-10,2618,43334,4,375,30,1.5,0.39
INV-24482000022,2020-01-10,4972,75198,2,750,30,1.5,0.39
INV-24491300033,2020-01-10,3818,86839,2,750,30,1.5,0.39
INV-24473400038,2020-01-10,3403,27433,2,750,30,1.5,0.39
INV-24485000081,2020-01-10,5236,75210,2,750,30,1.5,0.39
INV-24469600117,2020-01-10,2603,43621,2,750,30,1.5,0.39
INV-24481100015,2020-01-10,5660,27920,2,750,30,1.5,0.39
INV-24470500013,2020-01-10,5888,43334,4,375,30,1.5,0.39
INV-24497800018,2020-01-10,3465,27920,2,750,30,1.5,0.39
INV-24479500062,2020-01-10,4291,75221,2,750,30,1.5,0.39
INV-24473100025,2020-01-10,4897,43334,4,375,30,1.5,0.39
INV-24480500035,2020-01-10,4334,75198,2,750,30,1.5,0.39
INV-24484000066,2020-01-10,2569,43621,2,750,30,1.5,0.39
INV-24482100026,2020-01-10,3679,75210,2,750,30,1.5,0.39
INV-24482200023,2020-01-10,5017,43334,4,375,30,1.5,0.39
INV-24484000062,2020-01-10,2569,43302,2,750,30,1.5,0.39
INV-24474200016,2020-01-10,4067,27474,2,750,30,1.5,0.39
INV-24479400025,2020-01-10,2553,75198,2,750,30,1.5,0.39
INV-24473600003,2020-01-10,5520,36964,1,50,30,0.05,0.01
INV-24487900016,2020-01-10,3698,36964,1,50,30,0.05,0.01
INV-24469600081,2020-01-10,2603,36964,1,50,30,0.05,0.01
INV-24485800007,2020-01-10,5269,69631,4,50,30,0.2,0.05
INV-24484800018,2020-01-10,5333,69631,4,50,30,0.2,0.05
INV-24487300005,2020-01-10,4997,11299,4,200,30,0.8,0.21
INV-24490200020,2020-01-10,2677,11299,4,200,30,0.8,0.21
INV-24491300087,2020-01-10,3818,64863,8,200,30,1.6,0.42
INV-24470500034,2020-01-10,5888,64863,8,200,30,1.6,0.42
INV-24496500113,2020-01-10,2613,64863,8,200,30,1.6,0.42
INV-24479500067,2020-01-10,4291,86886,2,750,31,1.5,0.39
INV-24464800001,2020-01-10,5609,86886,2,750,31,1.5,0.39
INV-24485300033,2020-01-10,5437,69634,4,375,32,1.5,0.39
INV-24482500049,2020-01-10,3857,64864,4,375,32,1.5,0.39
INV-24465400002,2020-01-10,4868,64864,4,375,32,1.5,0.39
INV-24496500112,2020-01-10,2613,69634,4,375,32,1.5,0.39
INV-24497600006,2020-01-10,4418,64864,4,375,32,1.5,0.39
INV-24487500003,2020-01-10,5466,41846,3,750,36,2.25,0.59
INV-24493900010,2020-01-10,5005,41846,3,750,36,2.25,0.59
INV-24484500020,2020-01-10,2847,17956,3,750,36,2.25,0.59
INV-24472200047,2020-01-10,2506,43076,4,750,36,3,0.79
INV-24497500021,2020-01-10,4785,38056,4,750,36,3,0.79
INV-24489600073,2020-01-10,2550,73986,4,750,36,3,0.79
INV-24484500011,2020-01-10,2847,52316,4,750,36,3,0.79
INV-24468100021,2020-01-10,5700,43026,4,750,36,3,0.79
INV-24467700028,2020-01-10,4873,43026,4,750,36,3,0.79
INV-24475900008,2020-01-10,4370,43026,4,750,36,3,0.79
INV-24470800001,2020-01-10,2678,81196,6,750,36,4.5,1.18
INV-24484000071,2020-01-10,2569,45275,6,750,36,4.5,1.18
INV-24493400029,2020-01-10,5556,45275,6,750,36,4.5,1.18
INV-24485500017,2020-01-10,5738,81196,6,750,36,4.5,1.18
INV-24483300008,2020-01-10,5367,81206,6,750,36,4.5,1.18
INV-24476600007,2020-01-10,4601,45276,6,750,36,4.5,1.18
INV-24466900004,2020-01-10,5698,81206,6,750,36,4.5,1.18
INV-24468100022,2020-01-10,5700,45276,6,750,36,4.5,1.18
INV-24466400037,2020-01-10,4448,43331,5,50,36,0.25,0.06
INV-24475900014,2020-01-10,4370,43331,5,50,36,0.25,0.06
INV-24467900050,2020-01-10,2612,89665,1,750,36,0.75,0.19
INV-24479000019,2020-01-10,2656,5006,1,750,36,0.75,0.19
INV-24471400022,2020-01-10,2653,5006,1,750,36,0.75,0.19
INV-24496800045,2020-01-10,4474,84197,4,600,36,2.4,0.63
