category,category_name,vendor_number,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail
1081700,DISTILLED SPIRITS SPECIALTY,384,76044,Midnight Moon Blueberry,6,750,11.0,16.75
1082100,Imported Cordials & Liqueur,338,65963,Mozart Chocolate Cream Pumpkin Spice Liqueur,6,750,14.5,21.75
1081700,DISTILLED SPIRITS SPECIALTY,381,27372,American Born Moonshine Original,6,750,13.17,19.76
1091100,American Distilled Spirit Specialty,448,972686,St. George Bruto Americano,6,750,15.5,23.25
1081700,DISTILLED SPIRITS SPECIALTY,384,76038,Midnight Moon Cherry,6,750,11.0,16.75
1081700,DISTILLED SPIRITS SPECIALTY,384,72948,Catdaddy Spiced Moonshine,6,750,9.5,15.25
1081700,DISTILLED SPIRITS SPECIALTY,384,76046,Midnight Moon Cranberry,6,750,11.0,16.5
1011600,Straight Rye Whiskies,214,927145,Whistlepig 12 Year Old World,6,750,64.5,96.75
1081700,DISTILLED SPIRITS SPECIALTY,384,76038,Midnight Moon Cherry,6,750,9.5,15.25
1081700,DISTILLED SPIRITS SPECIALTY,384,76032,Midnight Moon Original,6,750,9.5,15.25
,,469,929570,Ty Ku Coconut,6,750,7.0,10.5
1081700,DISTILLED SPIRITS SPECIALTY,384,76032,Midnight Moon Original,6,750,11.0,16.75
1081700,DISTILLED SPIRITS SPECIALTY,384,76035,Midnight Moon Apple Pie,6,375,6.0,9.0
1901200,Special Order Items,295,903189,Belle De Brillet Pear Liqueur,6,750,27.75,41.63
1081700,DISTILLED SPIRITS SPECIALTY,384,76036,Midnight Moon Apple Pie,6,750,9.5,15.25
1091000,American Distilled Spirits Specialty,448,932342,St. George Absinthe Verte,6,750,30.0,45.0
1901200,Special Order Items,363,903608,Bunnahabhain 18yr,6,750,70.77,106.16
1901200,Special Order Items,161,903706,Frida Kahlo Anejo Tequila,6,750,48.73,73.1
1901200,Special Order Items,978,966122,Pierre Ferrand Dry Curacao,6,750,16.5,24.75
1082100,,375,64435,Berentzen Apple,6,750,10.34,15.51
1041200,Flavored Gin,448,953233,St. George Botanivore Gin,6,750,17.5,26.25
1701100,Temporary & Specialty Packages,962,80141,Forbidden Secret Pumpkin Spice Liqueur,6,750,10.0,15.0
1022300,Mezcal,223,88590,Mezcal Sacrificio Joven,6,750,18.64,27.96
1041200,Flavored Gin,110,932650,SOOH Uncle Vals Botanical Gin,6,750,17.5,26.25
1081700,DISTILLED SPIRITS SPECIALTY,384,76047,Midnight Moon Raspberry,6,750,11.5,17.25
1042100,Imported Dry Gins,501,928256,Boomsma Genever Jonge,6,750,10.84,16.26
1012300,Single Malt Scotch,166,994778,FassZination Royal Brackla 1998 18yrs old 750ml,6,750,85.17,127.76
1012210,SINGLE MALT SCOTCH,166,987641,Craigellachie 13YR,6,750,62.02,93.03
1011500,STRAIGHT RYE WHISKIES,210,27127,Three Rangers Whiskey,6,750,24.88,37.32
1081400,TRIPLE SEC,357,64396,Bauchant Orange Liqueur,12,750,12.33,18.5
1081700,DISTILLED SPIRITS SPECIALTY,384,76032,Midnight Moon Original,6,750,11.0,16.5
1701100,DECANTERS & SPECIALTY PACKAGES,130,402,Disaronno Amaretto Cavalli w/2 Glasses,6,750,13.86,20.79
1901200,Special Order Items,204,902086,Hillrock Estate Solera Str. Bourbon Why.,6,750,69.17,103.76
1081700,DISTILLED SPIRITS SPECIALTY,384,76024,Midnight Moon Cinnamon,6,750,11.0,16.5
1901200,Special Order Items,268,905377,Kilchoman Machir Bay,6,750,35.0,52.5
1081015,IMPORTED AMARETTO,130,64135,Disaronno Amaretto,12,375,7.5,11.25
1701100,DECANTERS & SPECIALTY PACKAGES,130,139,Disaronno Party Pack Sour VAP,6,750,14.03,21.05
1901200,Special Order Items,543,901860,Boyd & Blair Potato Vodka,6,750,17.0,25.5
1081700,DISTILLED SPIRITS SPECIALTY,384,76040,Midnight Moon Strawberry,6,750,11.0,16.5
1011600,Straight Rye Whiskies,244,27007,Filibuster Dual Cask Rye Whiskey,6,750,23.0,34.5
1081700,DISTILLED SPIRITS SPECIALTY,384,76038,Midnight Moon Cherry,6,750,11.0,16.5
1081700,DISTILLED SPIRITS SPECIALTY,384,76044,Midnight Moon Blueberry,6,750,11.0,16.5
1092100,,258,988075,Amrut Fusion Single Malt Whisy HA,6,750,41.0,61.5
1901200,Special Order Items,268,915997,Penderyn Single Malt Welsh Why.,6,750,38.09,57.14
1701100,DECANTERS & SPECIALTY PACKAGES,384,497,Midnight Moon Apple Pie w/Drinking Jar,6,750,11.5,17.25
1012300,IRISH WHISKIES,268,986723,Arran 12 yr,6,750,38.67,58.01
1901200,Special Order Items,497,903957,Sheep Dip Orig Oldbury Malt Scotch,6,750,22.25,33.38
1092000,Imported Distilled Spirits Specialty,258,988075,HA Amrut Fusion,6,750,41.0,61.5
1091300,Neutral Grain Spirits Flavored,384,904629,Catdaddy Carolina Moonshine,6,750,11.0,16.5
1052100,,283,987160,Millet Armagnac VSOP,6,750,28.0,42.0
1011700,,381,27370,American Born Moonshine Apple Pie,6,750,12.5,18.75
1082015,IMPORTED AMARETTO,91,902027,Amaretto Gozio,6,750,11.6,17.4
1011600,Straight Rye Whiskies,978,13730,Masterson's 10YR Straight Rye,6,750,46.66,69.99
1081700,DISTILLED SPIRITS SPECIALTY,102,987508,Broadslab Legacy Shine,6,750,13.82,20.73
1091000,American Distilled Spirits Specialty,347,987157,North Shore Aquavit - Private Reserve,6,750,21.67,32.51
1091100,American Distilled Spirit Specialty,481,77332,Sugarlands Shine Butterscotch Gold,6,750,13.0,19.5
1012210,SINGLE MALT SCOTCH,127,943675,Benromach 10YR,6,750,36.34,54.51
1081700,DISTILLED SPIRITS SPECIALTY,208,73206,Tim Smith's Climax Fire #32,6,750,17.5,26.25
1701100,Temporary & Specialty Packages,962,238,Forbidden Secret Coffee Pack,6,375,10.0,15.0
1081700,DISTILLED SPIRITS SPECIALTY,384,76042,Midnight Moon Blackberry,6,750,9.5,15.25
1082100,,313,964556,The Bitter Truth Apricot Liqueur,6,750,18.67,28.01
1901200,Special Order Items,224,904559,Torres 20 Hors D'age Brandy,6,750,26.79,40.19
1011600,Straight Rye Whiskies,210,27127,Three Rangers Whiskey,6,750,24.88,37.32
1012300,Single Malt Scotch,156,916020,Paul John Peated,6,750,46.67,70.01
1701100,DECANTERS & SPECIALTY PACKAGES,451,632,Death's Door Gin & Tonic,6,750,14.83,22.25
1081700,DISTILLED SPIRITS SPECIALTY,384,76044,Midnight Moon Blueberry,6,750,9.5,15.25
1082100,Imported Cordials & Liqueur,121,964799,Creme Yvette,6,750,18.5,27.75
1012210,SINGLE MALT SCOTCH,477,902209,Edradour 10yr Sing Malt Scotch,6,750,32.67,49.01
1012300,Single Malt Scotch,156,916018,Paul John Edited,6,750,30.0,45.0
1701100,Temporary & Specialty Packages,285,80422,Pennsylvania Dutch Pumpkin Cream,6,1750,9.44,14.16
1901200,Special Order Items,451,903776,Don Q Cristal Rum,6,1750,10.84,16.26
1051100,APRICOT BRANDIES,209,53937,Wisconsin Club Brandy,6,1750,11.0,16.5
1901200,Special Order Items,285,902291,Bartender's Bananas Over U,6,1750,9.31,13.97
1701100,DECANTERS & SPECIALTY PACKAGES,91,34183,Boru Irish Vodka,6,1750,11.02,16.53
1091100,American Distilled Spirit Specialty,418,86764,Sipp'n Sweet Corn,12,375,10.5,15.75
,,267,3201,Sobieski w/2 Shot Glasses,6,1750,10.99,16.49
,,384,108,Midnight Moon Cran-Apple Pie,6,750,11.5,17.25
1062300,Aged Dark Rum,313,43681,Centenario 7YR,12,750,10.83,16.25
,,130,100046,Disaronno Etro Mignon Counter Unit,1,3000,115.2,172.8
1701100,Temporary & Specialty Packages,130,100310,Disaronno Wears Missoni Mignon Counter Unit,1,3000,128.0,192.0
1092100,Imported Distilled Spirit Specialty,313,65296,Killepitsch,12,750,13.25,19.88
1091400,Iowa Distilleries,418,27273,Sipp'n -N- Mix'n,12,750,14.75,22.13
1011600,Straight Rye Whiskies,214,27145,WhistlePig Old World 12YR,6,750,64.17,96.26
1091100,American Distilled Spirit Specialty,324,77805,Saints N Sinners Apple Pie,12,750,8.0,12.0
1701100,Temporary & Specialty Packages,338,65963,Mozart Chocolate Cream Pumpkin Spice Liqueur,6,750,15.0,22.5
1701100,Temporary & Specialty Packages,163,100236,Zing 72 Gin w/Copper Cup,6,750,13.5,20.25
1701100,Temporary & Specialty Packages,163,100659,Outerspace Chrome w/2 Shot Glasses,6,750,17.0,25.5
1091100,American Distilled Spirit Specialty,578,77050,Field Fire,6,750,12.0,18.0
1062300,Aged Dark Rum,313,43683,Centenario 12YR,12,750,19.84,29.76
1091100,American Distilled Spirit Specialty,525,72945,Krupnik,12,750,16.65,24.98
1012300,Single Malt Scotch,313,4436,Benromach 10YR,6,750,29.99,44.99
1041200,Flavored Gin,212,28638,Indian Summer,6,750,15.85,23.78
